,HNSCC cells,Fibroblasts ,B cells,Myocytes ,Macrophages,Endothelial cells,T cells,Dendritic cells,Mast cells
HNSCC cells,5317.824296,2025.575468,2149.526219,1785.292981,4046.372107,1866.075813,1626.793684,1655.455137,2541.804982
Fibroblasts ,5504.321258,2335.048371,2263.350424,1877.210537,4240.985054,2130.299635,1781.524305,1742.354991,2668.020723
B  cells,2506.565127,940.8802998,1126.332657,883.7717441,2135.092038,832.5645476,1064.544763,900.5835495,1291.594891
Myocytes ,2554.439744,1019.721852,1084.648441,908.5102618,2010.153638,891.3584917,903.9585117,835.9636729,1251.417816
Macrophages,5102.5695,1997.094808,2130.543765,1722.980304,4260.944803,1668.765217,1794.759445,1670.9561,2654.838749
Endothelial cells,4970.251244,2016.455738,2069.978623,1689.253461,3917.434203,1822.059541,1691.527143,1640.480142,2441.592937
T cells,2469.373681,908.296752,1092.929362,856.1198811,2083.68008,837.1895565,1057.40459,873.2245167,1242.623004
Dendritic cells,3105.657331,1152.93983,1345.050249,1061.263349,2506.206235,1018.484053,1277.572209,1085.205118,1587.230833
Mast cells,3132.729595,1171.780638,1335.174703,1084.889324,2613.166066,1003.825829,1171.454016,1012.922205,1628.202369
