SEMA3F-PLXNA3
SEMA3F-PLXNA1
SEMA3F-NRP1
SEMA3F-NRP2
CX3CL1-CX3CR1
HEBP1-ADRA2A
HEBP1-MTNR1A
HEBP1-FPR3
HEBP1-GRM7
DCN-EGFR
DCN-MET
DCN-ERBB4
GRN-EGFR
GRN-TNFRSF1A
GRN-SORT1
GRN-TNFRSF1B
GRN-CLEC4M
UTS2-UTS2R
ICAM3-CLEC4M
ICAM3-ITGAL
ICAM3-ITGB2
ICAM3-CD209
ICAM3-ITGAD
CEACAM1-EGFR
CEACAM1-CD209
CEACAM1-SELE
PRLH-PRLHR
FGF4-NRP1
FGF4-FGFR2
FGF4-FGFR4
FGF4-FGFR1
FGF4-FGFR3
ST6GAL1-EGFR
ST6GAL1-CD22
NTN1-UNC5D
NTN1-UNC5B
NTN1-DCC
NTN1-UNC5A
NTN1-ADORA2B
NTN1-UNC5C
NTN1-NEO1
SCT-PTH1R
SCT-ADCYAP1R1
SCT-RAMP2
SCT-VIPR1
SCT-RAMP3
SCT-GPR20
SCT-ADRB2
SCT-VIPR2
SCT-ADRB3
SCT-TSHR
SCT-GPR84
SCT-SCTR
FGF20-FGFR2
FGF20-FGFR4
FGF20-FGFR1
FGF20-FGFR3
CEACAM6-EGFR
THPO-MPL
EFNB1-EPHB6
EFNB1-EPHB4
EFNB1-ERBB2
EFNB1-EPHB1
EFNB1-EPHB3
EFNB1-EPHB2
EFNB1-EPHA4
EFNB1-EPHA6
DLL3-NOTCH1
DLL3-NOTCH4
DLL3-NOTCH2
DLL3-NOTCH3
SEMA4G-PLXNB2
VCL-ITGB5
VCL-ALK
EFNA2-EPHA4
EFNA2-EPHA6
EFNA2-EPHA7
EFNA2-EPHA10
EFNA2-EPHA3
EFNA2-EPHA1
EFNA2-EPHA5
EFNA2-EPHA2
EFNA2-EPHA8
FGF22-FGFR2
FGF22-FGFR1
MADCAM1-ITGA4
MADCAM1-CD44
MADCAM1-ITGB7
MIF-EGFR
MIF-CD44
MIF-CXCR4
MIF-CXCR2
MIF-CD74
OSM-LIFR
OSM-IL6ST
OSM-OSMR
TCN2-LRP2
TCN2-CNR1
LGALS1-ITGB1
LGALS1-PTPRC
NID2-COL13A1
GZMB-CHRM3
GZMB-IGF2R
RSPO4-LGR6
RSPO4-LGR4
RSPO4-LGR5
OXT-AVPR2
OXT-AVPR1B
OXT-AVPR1A
OXT-OXTR
F9-LRP1
PCSK1N-GPR171
TIMP1-FGFR2
TIMP1-CD63
MMP2-FGFR1
MMP2-PECAM1
MMP2-CCR2
MMP2-SDC2
CCL22-CCR4
CCL22-DPP4
CCL17-CCR4
CCL17-CCR8
TG-LRP2
TG-ASGR1
TG-TPO
SFRP1-FZD2
SFRP1-FZD6
PLAT-ITGB2
PLAT-LRP1
PLAT-ITGAM
DKK4-LRP6
DKK4-LRP5
LHB-PTH1R
LHB-ADCYAP1R1
LHB-RAMP2
LHB-VIPR1
LHB-RAMP3
LHB-GPR20
LHB-ADRB2
LHB-ADRB3
LHB-TSHR
LHB-GPR84
LHB-LHCGR
AMH-EGFR
AMH-ACVR1
AMH-AMHR2
RETN-GPR25
EBI3-IL6ST
EBI3-IL27RA
TGFB1-EGFR
TGFB1-ITGB5
TGFB1-CXCR4
TGFB1-ITGB1
TGFB1-SDC2
TGFB1-ENG
TGFB1-SMAD3
TGFB1-TGFBR2
TGFB1-ITGB3
TGFB1-TGFBR1
TGFB1-ACVRL1
TGFB1-ITGB6
TGFB1-ITGAV
TGFB1-CAV1
TGFB1-ITGB8
TGFB1-TGFBR3
ICAM5-ITGAL
ICAM5-ITGB2
CEACAM5-CD1D
COMP-ITGB1
COMP-ITGB3
COMP-CD36
HGF-NRP1
HGF-MET
HGF-CD44
HGF-ITGB1
HGF-SDC2
HGF-SDC1
HGF-ST14
LAMB1-ITGB1
LAMB1-ITGAV
LAMB1-ITGA7
LAMB1-ITGA6
LAMB1-ITGA1
LAMB1-ITGA2
LAMB1-ITGA3
LAMB1-ITGB4
WNT16-FZD6
NAMPT-ADORA2A
PON2-HTR2A
NPVF-NPFFR1
NPVF-NPFFR2
PDAP1-PDGFRB
SERPINE1-ITGB5
SERPINE1-LRP2
SERPINE1-LRP1
SERPINE1-ITGAV
SERPINE1-PLAUR
C5-ADRA2A
C5-MTNR1A
C5-GRM7
C5-C5AR2
C5-C5AR1
TNFSF8-TNFRSF8
RLN1-RXFP2
RLN1-RXFP1
CSF3-CSF1R
CSF3-CSF3R
WNT3-LRP6
WNT3-RYK
WNT3-ROR2
WNT3-FZD1
WNT3-FZD7
WNT3-FZD8
WNT3-FZD5
CCL2-CCR2
CCL2-CCR4
CCL2-CCR1
CCL2-CCR5
CCL2-CCR10
CCL2-CCR3
CCL1-CCR8
CCL13-CCR2
CCL13-CCR1
CCL13-CCR5
CCL13-CCR3
CCL13-CXCR3
CCL13-CCR9
COL1A1-CD44
COL1A1-ITGB1
COL1A1-ITGAV
COL1A1-CD36
COL1A1-ITGA1
COL1A1-ITGA2
COL1A1-ITGA5
COL1A1-CD93
COL1A1-FLT4
COL1A1-DDR2
COL1A1-ITGA11
COL1A1-TMPRSS6
COL1A1-DDR1
EFNB3-EPHB6
EFNB3-EPHB4
EFNB3-EPHB1
EFNB3-EPHB3
EFNB3-EPHB2
EFNB3-EPHA4
EFNB3-RHBDL2
VTN-ITGB5
VTN-ITGB1
VTN-ITGB3
VTN-ITGB6
VTN-ITGAV
VTN-ITGB8
VTN-PLAUR
VTN-ITGA5
VTN-ITGA8
VTN-CD47
VTN-KDR
VTN-ITGA2B
VTN-TNFRSF11B
VTN-PVR
VTN-ITGA3
IBSP-ITGB3
IBSP-ITGAV
CXCL6-ADRA2A
CXCL6-MTNR1A
CXCL6-GRM7
CXCL6-CXCR2
CXCL6-CXCR1
IL2-IL2RA
IL2-IL2RG
IL2-CD53
IL2-NGFR
IL2-IL2RB
APOC3-LRP2
APOC3-LRP1
APOC3-SDC2
APOC3-LDLR
APOC3-TLR2
KITLG-KIT
KITLG-EPOR
CLEC2B-KLRF1
SELPLG-ITGB2
SELPLG-SELE
SELPLG-ITGAM
SELPLG-ESAM
SELPLG-SELL
SELPLG-SELP
IL23A-IL12RB1
IL23A-IL12RB2
IL23A-IL23R
FGF6-FGFR2
FGF6-FGFR4
FGF6-FGFR1
FGF6-FGFR3
FGF6-SDC4
IL26-IL10RB
IL26-IL20RA
IFNG-IFNGR2
IFNG-IFNGR1
GNB3-TGFBR1
GNB3-GABBR2
ULBP1-KLRK1
LAMA4-ITGB1
LAMA4-ITGAV
LAMA4-ITGA6
LAMA4-ITGA3
HBEGF-EGFR
HBEGF-ERBB4
HBEGF-ERBB2
HBEGF-CD44
HBEGF-CD9
HBEGF-PRLR
HBEGF-CD82
IL12B-IL12RB1
IL12B-IL12RB2
IL12B-IL23R
IL4-IL2RG
IL4-CD53
IL4-IL13RA2
IL4-IL13RA1
IL4-IL4R
IL5-CSF2RB
IL5-IL5RA
SEMA3G-NRP2
LTF-LRP1
LTF-TFRC
HRG-ERBB2
HRG-FCGR1A
HRG-ERBB3
TFPI-LRP1
TFPI-SDC4
TFPI-VLDLR
TFPI-F3
APOB-ITGB2
APOB-ADRB2
APOB-LRP2
APOB-LRP1
APOB-ITGAM
APOB-LRP6
APOB-LDLR
APOB-VLDLR
APOB-OLR1
APOB-CALCR
APOB-MTTP
APOB-LSR
APOB-TLR6
APOB-TLR4
APOB-LRP8
WNT6-FZD4
PROC-ITGB2
PROC-ITGAM
PROC-THBD
PROC-PROCR
ANGPTL1-TEK
CD160-TNFRSF14
APOA1-LRP2
APOA1-LRP1
APOA1-LDLR
APOA1-ABCA1
FGF23-FGFR2
FGF23-FGFR4
FGF23-FGFR1
FGF23-FGFR3
FGF23-PHEX
FGF23-KL
TGFB3-ITGB5
TGFB3-ITGB1
TGFB3-ENG
TGFB3-TGFBR2
TGFB3-ITGB3
TGFB3-TGFBR1
TGFB3-ACVRL1
TGFB3-ITGB6
TGFB3-TGFBR3
IFNA7-IFNAR2
IFNA7-IFNAR1
IAPP-PTH1R
IAPP-ADCYAP1R1
IAPP-RAMP2
IAPP-VIPR1
IAPP-RAMP3
IAPP-GPR20
IAPP-ADRB2
IAPP-ADRB3
IAPP-TSHR
IAPP-GPR84
IAPP-CALCR
IAPP-RAMP1
TNFSF10-TNFRSF11B
TNFSF10-TNFRSF10D
TNFSF10-RIPK1
TNFSF10-TNFRSF10B
TNFSF10-TNFRSF10C
TNFSF10-TNFRSF10A
GSTM2-RYR2
INHBA-ACVR1
INHBA-ENG
INHBA-SMAD3
INHBA-ACVR2B
INHBA-BAMBI
INHBA-ACVR1B
INHBA-TGFBR3
INHBA-ACVR2A
INHA-ACVR1
INHA-ACVR2B
INHA-TGFBR3
INHA-ACVR2A
PI3-PLD2
IL17C-IL17RE
LYPD3-AGR2
EREG-EGFR
EREG-ERBB4
EREG-ERBB2
EREG-ERBB3
EFNB2-EPHB6
EFNB2-EPHB4
EFNB2-EPHB1
EFNB2-EPHB3
EFNB2-EPHB2
EFNB2-EPHA4
EFNB2-EPHA6
EFNB2-EPHA3
EFNB2-PECAM1
EFNB2-RHBDL2
EFNB2-GRM5
EFNB2-GRM1
BMP4-LRP6
BMP4-BMPR2
BMP4-BMPR1A
BMP4-BMPR1B
PSPN-GFRA3
PSPN-RET
PSPN-SDC3
PSPN-GFRA2
PSPN-GFRA4
PSPN-GFRA1
TNFSF9-PVR
TNFSF9-TNFRSF9
TNFSF9-TRAF2
CD70-TNFRSF13B
CD70-CD27
CD70-TNFRSF17
C3-ADRA2A
C3-MTNR1A
C3-GRM7
C3-ITGB2
C3-LRP1
C3-ITGAM
C3-C5AR2
C3-CD19
C3-CD46
C3-CR2
C3-ITGAX
C3-C3AR1
C3-IFITM1
C3-CR1
C3-CD81
VASP-CXCR2
SLURP1-CHRNA7
GDF1-SMAD3
GDF1-ACVR2B
GDF1-ACVR1B
GDF1-ACVR2A
OMG-RTN4RL1
OMG-LINGO1
OMG-RTN4R
OMG-NGFR
LIF-LIFR
LIF-IL6ST
DLL4-NOTCH1
DLL4-NOTCH4
DLL4-NOTCH2
DLL4-NOTCH3
TPH1-HTR2A
TPH1-HTR7
TPH1-HTR1A
TPH1-HTR1F
TPH1-HTR1D
TPH1-HTR2C
TPH1-HTR4
TPH1-HTR6
TPH1-HTR1B
TPH1-HTR2B
TPH1-HTR5A
TPH1-HTR1E
AANAT-MTNR1A
AANAT-MTNR1B
LMAN1-MCFD2
APOE-LRP2
APOE-LRP1
APOE-SDC2
APOE-LRP6
APOE-LRP5
APOE-LDLR
APOE-VLDLR
APOE-LSR
APOE-LRP8
APOE-ABCA1
APOE-CHRNA4
APOE-TREM2
APOE-SORL1
APOE-SCARB1
APOE-LRP4
APOC2-LDLR
NCAN-SDC3
NCAN-CDH2
BST2-LILRA4
BMP15-BMPR2
BMP15-BMPR1A
BMP15-BMPR1B
BMP15-ACVR2A
EPO-EPHB4
EPO-EPOR
GDF15-RET
GDF15-GFRAL
LAMA5-ITGB1
LAMA5-SDC1
LAMA5-ITGA6
LAMA5-ITGA2
LAMA5-BCAM
LAMA5-ITGA3
LAMA5-ITGB4
F12-CD93
F12-GP1BA
JAG1-NOTCH1
JAG1-NOTCH4
JAG1-NOTCH2
JAG1-NOTCH3
JAG1-CD46
CRP-OLR1
CRP-CR1
NTS-SORT1
NTS-NTSR1
NTS-NTSR2
NTS-NGFR
TSHB-PTH1R
TSHB-ADCYAP1R1
TSHB-RAMP2
TSHB-VIPR1
TSHB-RAMP3
TSHB-GPR20
TSHB-ADRB2
TSHB-ADRB3
TSHB-TSHR
TSHB-GPR84
FST-BMPR2
FST-BMPR1B
GRP-GRPR
GRP-BRS3
GRP-NMBR
DSC1-DSG2
DSC1-DSG3
DSC1-DSG1
SEMA6A-PLXNA4
SEMA6A-PLXNA2
LACRT-SDC1
GDF11-ACVR2B
GDF11-ACVR1B
GDF11-BMPR2
GDF11-BMPR1A
GDF11-BMPR1B
GDF11-ACVR2A
LAMC1-ITGB1
LAMC1-ITGAV
LAMC1-ITGA7
LAMC1-ITGA6
LAMC1-ITGA1
LAMC1-ITGA2
LAMC1-ITGA3
LAMC1-ITGB4
IL36G-IL36RN
IL36G-IL1RL2
IL1RN-IL1RL2
IL1RN-IL1R1
IL1RN-IL1R2
IL36A-IL36RN
IL36A-IL1RL2
IL36B-IL36RN
IL36B-IL1RL2
CFC1-SMAD3
CFC1-ACVR1B
CFC1-ACVR2A
ORM1-CCR5
CCL21-ADRA2A
CCL21-MTNR1A
CCL21-GRM7
CCL21-CXCR3
CCL21-CCR7
CCL27-ADRA2A
CCL27-MTNR1A
CCL27-GRM7
CCL27-CCR10
TGS1-RXRA
MMP7-ERBB4
MMP7-CD44
MMP7-SDC1
MMP7-CD151
THBS1-ITGA4
THBS1-ITGB1
THBS1-LRP1
THBS1-LRP5
THBS1-ITGB3
THBS1-CD36
THBS1-SDC1
THBS1-ITGA6
THBS1-CD47
THBS1-ITGA2B
THBS1-TNFRSF11B
THBS1-SDC4
THBS1-SCARB1
THBS1-ITGA3
ADAM10-MET
ADAM10-NOTCH1
ADAM10-NOTCH2
ADAM10-EPHA3
ADAM10-CD44
ADAM10-TREM2
ADAM10-GPNMB
ADAM10-TSPAN5
ADAM10-TSPAN15
ADAM10-TSPAN10
ADAM10-CADM1
ADAM10-TSPAN14
ADAM10-IL6R
ADAM10-TSPAN17
ADAM10-AXL
ADAM10-NRCAM
ADAM10-TSPAN12
MSTN-ACVR2B
COL8A1-ITGA1
COL8A1-ITGA2
LYZ-ITGAL
VWF-LRP1
VWF-ITGB3
VWF-ITGA2B
VWF-TNFRSF11B
VWF-SELP
VWF-GP1BA
